;Friday;Saturday;Sunday;Monday;Tuesday;Wednesday;Thursday
1;17;23;17;12;6;7;8
2;24;29;25;14;7;8;11
3;20;23;21;14;7;8;9
4;12;14;13;8;4;4;5
5;21;24;19;14;8;7;9
6;29;33;10;19;9;8;13
7;24;31;24;15;10;11;11

