Region;Friday;Saturday;Sunday;Monday;Tuesday;Wednesday;Thursday
1;12;16;12;8;5;5;6
2;17;21;17;10;5;6;7
3;14;16;14;10;5 (6?);6;6
4;9;12;8(9?);5;3;4;4
5;15;16;14;10;6;5;7
6;21;25;18;13;6;6;10
7;18;21;16;10;7;8;7

