;Friday;Saturday;Sunday;Monday;Tuesday;Wednesday;Thursday
1;2;3;4;1;2;1;3
2;3;3;4;2;2;2;4
3;4;2;4;2;2;1;4
4;1;2;2;1;1;1;1
5;4;3;3;1;2;2;4
6;4;4;5;2;2;3;4
7;3;3;4;1;2;3;3
