Region;Friday;Saturday;Sunday;Monday;Tuesday;Wednesday;Thursday
1;9;11;10;6;3;3;5
2;11;16;17;8;5;4;5
3;11;13;13;8;6;4;5
4;6;9;9;5;3;3;3
5;11;13;15;6;3;4;5
6;15;18;17;10;4;5;7
7;13;16;15;8;5;5;6


