Region;Friday;Saturday;Sunday;Monday;Tuesday;Wednesday;Thursday
1;17;23;17;12;6;7;8
2;24;29;24;14;7;8;11
3;20;23;21;14;7;8;9
4;12;14;11;8;4;4;5
5;21;24;19;14;8;7;9
6;29;33;28;19;9;8;13
7;24;31;23;15;10;11;11



