,Orders delivered_R1,Num_delayed_orders_R1,Percentage delayed orders_R1,Total delay time_R1,Avg. delay_R1,Total waiting time_R1,Avg. waiting time_R1,kms driven_R1,Orders delivered_R2,Num_delayed_orders_R2,Percentage delayed orders_R2,Total delay time_R2,Avg. delay_R2,Total waiting time_R2,Avg. waiting time_R2,kms driven_R2,Orders delivered_R3,Num_delayed_orders_R3,Percentage delayed orders_R3,Total delay time_R3,Avg. delay_R3,Total waiting time_R3,Avg. waiting time_R3,kms driven_R3,Orders delivered_R4,Num_delayed_orders_R4,Percentage delayed orders_R4,Total delay time_R4,Avg. delay_R4,Total waiting time_R4,Avg. waiting time_R4,kms driven_R4,Orders delivered_R5,Num_delayed_orders_R5,Percentage delayed orders_R5,Total delay time_R5,Avg. delay_R5,Total waiting time_R5,Avg. waiting time_R5,kms driven_R5,Orders delivered_R6,Num_delayed_orders_R6,Percentage delayed orders_R6,Total delay time_R6,Avg. delay_R6,Total waiting time_R6,Avg. waiting time_R6,kms driven_R6,Orders delivered_R7,Num_delayed_orders_R7,Percentage delayed orders_R7,Total delay time_R7,Avg. delay_R7,Total waiting time_R7,Avg. waiting time_R7,kms driven_R7,Orders delivered_Paris,Num_delayed_orders_Paris,Percentage delayed orders_Paris,Total delay time_Paris,Avg. delay_Paris,Total waiting time_Paris,Avg. waiting time_Paris,kms driven_Paris
minveh_time,14.0,0.0,0.0,0.0,0.0,406.01666666666665,29.001190476190477,134.003,10.0,0.0,0.0,0.0,0.0,133.79999999999998,13.379999999999999,61.937000000000005,3.0,0.0,0.0,0.0,0.0,24.8,8.266666666666667,16.630000000000003,5.0,0.0,0.0,0.0,0.0,75.23333333333333,15.046666666666667,40.207,5.0,0.0,0.0,0.0,0.0,86.4,17.28,41.068999999999996,17.0,0.0,0.0,0.0,0.0,350.8833333333333,20.640196078431373,118.625,8.0,0.0,0.0,0.0,0.0,160.31666666666666,20.039583333333333,66.739,62.0,0.0,0.0,0.0,0.0,1237.4499999999998,19.958870967741934,479.21000000000004
minveh_cost,14.0,1.0,0.09090909090909091,0.9833333333333333,0.9833333333333333,445.06666666666666,31.79047619047619,117.171,10.0,0.0,0.0,0.0,0.0,123.73333333333332,12.373333333333331,57.71200000000001,3.0,0.0,0.0,0.0,0.0,24.8,8.266666666666667,16.630000000000003,5.0,0.0,0.0,0.0,0.0,69.66666666666667,13.933333333333334,37.971,5.0,0.0,0.0,0.0,0.0,85.2,17.04,27.145000000000003,17.0,0.0,0.0,0.0,0.0,342.3833333333334,20.140196078431376,83.57500000000002,8.0,0.0,0.0,0.0,0.0,160.35,20.04375,58.11299999999999,62.0,1.0,0.016129032258064516,0.9833333333333333,0.01586021505376344,1251.1999999999998,20.180645161290318,398.31700000000006
minveh_mix,14.0,1.0,0.09090909090909091,0.9833333333333333,0.9833333333333333,445.06666666666666,31.79047619047619,117.171,10.0,0.0,0.0,0.0,0.0,123.73333333333332,12.373333333333331,57.71200000000001,3.0,0.0,0.0,0.0,0.0,24.8,8.266666666666667,16.630000000000003,5.0,0.0,0.0,0.0,0.0,69.66666666666667,13.933333333333334,37.971,5.0,0.0,0.0,0.0,0.0,85.2,17.04,27.145000000000003,17.0,0.0,0.0,0.0,0.0,342.3833333333334,20.140196078431376,83.57500000000002,8.0,0.0,0.0,0.0,0.0,160.35,20.04375,58.11299999999999,62.0,1.0,0.016129032258064516,0.9833333333333333,0.01586021505376344,1251.1999999999998,20.180645161290318,398.31700000000006
mintime_time,14.0,0.0,0.0,0.0,0.0,317.3666666666667,22.66904761904762,147.73200000000003,10.0,0.0,0.0,0.0,0.0,121.46666666666667,12.146666666666667,58.738,3.0,0.0,0.0,0.0,0.0,24.8,8.266666666666667,16.630000000000003,5.0,0.0,0.0,0.0,0.0,67.43333333333334,13.486666666666668,37.059,5.0,0.0,0.0,0.0,0.0,86.4,17.28,41.068999999999996,17.0,0.0,0.0,0.0,0.0,264.83333333333337,15.578431372549021,131.33900000000006,8.0,0.0,0.0,0.0,0.0,166.93333333333334,20.866666666666667,68.34500000000001,62.0,0.0,0.0,0.0,0.0,1049.2333333333333,16.92311827956989,500.9120000000001
mintime_cost,14.0,0.0,0.0,0.0,0.0,318.2333333333334,22.730952380952385,129.946,10.0,0.0,0.0,0.0,0.0,121.35,12.135,56.76800000000001,3.0,0.0,0.0,0.0,0.0,24.8,8.266666666666667,16.630000000000003,5.0,0.0,0.0,0.0,0.0,67.43333333333334,13.486666666666668,37.059,5.0,0.0,0.0,0.0,0.0,85.2,17.04,27.145000000000003,17.0,0.0,0.0,0.0,0.0,256.9833333333333,15.116666666666664,117.08500000000004,8.0,0.0,0.0,0.0,0.0,160.35,20.04375,58.11299999999999,62.0,0.0,0.0,0.0,0.0,1034.35,16.68306451612903,442.74600000000004
mintime_mix,14.0,0.0,0.0,0.0,0.0,318.2333333333334,22.730952380952385,129.946,10.0,0.0,0.0,0.0,0.0,121.35,12.135,56.76800000000001,3.0,0.0,0.0,0.0,0.0,24.8,8.266666666666667,16.630000000000003,5.0,0.0,0.0,0.0,0.0,67.43333333333334,13.486666666666668,37.059,5.0,0.0,0.0,0.0,0.0,85.2,17.04,27.145000000000003,17.0,0.0,0.0,0.0,0.0,256.9833333333333,15.116666666666664,117.08500000000004,8.0,0.0,0.0,0.0,0.0,160.35,20.04375,58.11299999999999,62.0,0.0,0.0,0.0,0.0,1034.35,16.68306451612903,442.74600000000004
